DataFrame[212×20 DataFrame
 Row │ geometry    ref:FR:PTT  ref:FR:PTT:NRA  colour   mapillary        operator          substation          utility  survey:date  ref:FR:Orange:NRO  man_made        ref        ref:FR:ARCEP   ref:FR:Orange  @id              telecom:medium  power       owner    telecom           street_cabinet
  54 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GM  PT006629       node/7142774589  fibre           missing     Orange   connection_point  telecom
  55 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GA  PT006633       node/7142774590  fibre           missing     Orange   connection_point  telecom
  56 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FH  PT006373       node/7142774591  fibre           missing     Orange   connection_point  telecom
  57 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01H0  PT006372       node/7142774592  fibre           missing     Orange   connection_point  telecom
  58 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01F7  PT006375       node/7142774593  fibre           missing     Orange   connection_point  telecom
  59 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01F9  PT006551       node/7142774594  fibre           missing     Orange   connection_point  telecom
  60 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01G4  PT006339       node/7142774595  fibre           missing     Orange   connection_point  telecom
  61 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FA  PT006352       node/7143310284  fibre           missing     Orange   connection_point  telecom
  62 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FI  PT006374       node/7143335285  fibre           missing     Orange   connection_point  telecom
  63 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FK  missing        node/7143335286  fibre           missing     Orange   connection_point  telecom
  64 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FQ  PT006643       node/7143335287  fibre           missing     Orange   connection_point  telecom
  65 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GF  PT006632       node/7143335288  fibre           missing     Orange   connection_point  telecom
  66 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01G8  PT006618       node/7143335289  fibre           missing     Orange   connection_point  telecom
  67 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00U0  PT004469       node/7143335290  fibre           missing     Orange   connection_point  telecom
  68 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00UT  PT004445       node/7143335291  fibre           missing     Orange   connection_point  telecom
  69 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0194  PT002569       node/7143335292  fibre           missing     Orange   connection_point  telecom
  70 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0196  missing        node/7143335293  fibre           missing     Orange   connection_point  telecom
  71 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018Q  PT002588       node/7143335294  fibre           missing     Orange   connection_point  telecom
  72 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-017F  PT002433       node/7143335295  fibre           missing     Orange   connection_point  telecom
  73 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GT  PT006545       node/7143335305  fibre           missing     Orange   connection_point  telecom
  74 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GU  PT006544       node/7143335306  fibre           missing     Orange   connection_point  telecom
  75 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GZ  PT006550       node/7143335307  fibre           missing     Orange   connection_point  telecom
  76 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109LGP           street_cabinet  missing    FI-44109-00L9  PT002454       node/7143335308  fibre           missing     Orange   connection_point  telecom
  77 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-018J  PT002615       node/7143335325  fibre           missing     Orange   connection_point  telecom
  78 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00U2  PT004468       node/7143335326  fibre           missing     Orange   connection_point  telecom
  79 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TQ  PT004432       node/7143335327  fibre           missing     Orange   connection_point  telecom
  80 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GY  missing        node/7149730811  fibre           missing     Orange   connection_point  telecom
  81 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109LGP           street_cabinet  missing    FI-44109-00KR  PT002716       node/7159379789  fibre           missing     Orange   connection_point  telecom
  82 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GE  PT006341       node/7160734488  fibre           missing     Orange   connection_point  telecom
  83 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-00TW  PT004453       node/7160734489  fibre           missing     Orange   connection_point  telecom
  84 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GP  PT006342       node/7160734490  fibre           missing     Orange   connection_point  telecom
  85 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GS  PT006344       node/7160734491  fibre           missing     Orange   connection_point  telecom
  86 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GR  PT006343       node/7160734492  fibre           missing     Orange   connection_point  telecom
  87 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GN  PT006240       node/7160734493  fibre           missing     Orange   connection_point  telecom
  88 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109LGP           street_cabinet  missing    FI-44109-00KT  PT002707       node/7164859737  fibre           missing     Orange   connection_point  telecom
  89 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109LGP           street_cabinet  missing    FI-44109-00KU  PT002714       node/7164859738  fibre           missing     Orange   connection_point  telecom
  90 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109LGP           street_cabinet  missing    FI-44109-00KX  PT002712       node/7164859739  fibre           missing     Orange   connection_point  telecom
  91 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109LGP           street_cabinet  missing    FI-44109-00L2  PT002702       node/7164859744  fibre           missing     Orange   connection_point  telecom
  92 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109LGP           street_cabinet  missing    FI-44109-00KW  PT002706       node/7164859745  fibre           missing     Orange   connection_point  telecom
  93 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-0183  PT002597       node/7170275758  fibre           missing     Orange   connection_point  telecom
  94 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109CRB           street_cabinet  missing    FI-44109-017G  PT002434       node/7170275759  fibre           missing     Orange   connection_point  telecom
  95 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109LGP           street_cabinet  missing    FI-44109-00KS  PT002715       node/7191316389  fibre           missing     Orange   connection_point  telecom
  96 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109LGP           street_cabinet  missing    FI-44109-00KV  PT002713       node/7191316390  fibre           missing     Orange   connection_point  telecom
  97 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109LGP           street_cabinet  missing    FI-44109-00L8  PT002698       node/7191316391  fibre           missing     Orange   connection_point  telecom
  98 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GV  missing        node/7191316393  fibre           missing     Orange   connection_point  telecom
  99 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01GW  PT006547       node/7191316394  fibre           missing     Orange   connection_point  telecom
 100 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FM  PT006639       node/7191316395  fibre           missing     Orange   connection_point  telecom
 101 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FN  PT006638       node/7191316396  fibre           missing     Orange   connection_point  telecom
 102 │ 2D Point    missing     missing         missing          missing  Orange            missing             missing  missing      44109GLO           street_cabinet  missing    FI-44109-01FS  PT006612       node/7191316397  fibre           missing     Orange   connection_point  telecom
